timestamp,latitude,longitude,pH,DO,turbidity,temperature,conductivity,nitrate,phosphate,bod,cod,event_type,pollution_level
2023-01-01 00:00:00,40.61236203565421,-73.68790775445999,6.36,5.18,2.9,12.39,579.75,3.66,0.06,0.01,6.27,heavy_rainfall,Good
2023-01-01 01:00:00,40.78521429192297,-73.70012637113058,7.47,5.84,8.56,7.54,489.58,2.22,0.17,1.32,0.87,industrial_discharge,Good
2023-01-01 02:00:00,40.71959818254342,-73.74715382624915,8.05,4.72,0.18,13.52,499.56,4.06,0.13,2.17,2.74,normal,Good
2023-01-01 03:00:00,40.67959754525911,-73.61781999896955,6.02,7.65,0.19,14.13,380.35,0.35,0.09,1.06,1.05,normal,Good
2023-01-01 04:00:00,40.54680559213273,-73.6570127518474,8.37,5.62,2.43,20.98,558.68,2.9,0.0,0.28,13.02,normal,Good
2023-01-01 05:00:00,40.54679835610086,-73.5402897023028,6.9,1.92,9.66,9.92,436.05,1.77,0.1,0.62,9.63,festival,Good
2023-01-01 06:00:00,40.51742508365046,-73.79036712585538,6.22,10.2,0.75,17.42,493.02,1.55,0.03,2.5,13.0,normal,Good
2023-01-01 07:00:00,40.759852843732475,-73.60683962173346,7.61,5.64,1.2,15.43,427.0,2.61,0.05,1.29,8.21,normal,Good
2023-01-01 08:00:00,40.680334503522964,-73.57111533644652,6.64,5.64,0.31,5.54,379.69,0.64,0.23,1.31,5.85,industrial_discharge,Good
2023-01-01 09:00:00,40.71242177333881,-73.5721540292435,6.93,9.01,1.35,11.37,468.95,0.16,0.17,0.08,5.16,normal,Good
2023-01-01 10:00:00,40.50617534828874,-73.53417780987134,6.68,4.69,0.14,11.17,677.84,1.39,0.15,1.51,3.28,normal,Good
2023-01-01 11:00:00,40.7909729556486,-73.58128987715115,6.35,8.2,1.48,23.42,429.06,0.72,0.17,1.11,16.68,normal,Good
2023-01-01 12:00:00,40.749732792240124,-73.52165698150569,7.58,5.62,2.43,17.73,481.01,0.59,0.03,4.23,5.02,normal,Good
2023-01-01 13:00:00,40.56370173320348,-73.70020302005373,6.77,4.51,11.07,15.72,460.23,13.03,0.04,0.96,1.93,normal,Good
2023-01-01 14:00:00,40.55454749016213,-73.64903717497454,5.85,9.06,5.12,2.0,404.43,0.44,0.16,1.88,11.0,normal,Good
2023-01-01 15:00:00,40.55502135295603,-73.79577610101514,7.44,7.88,5.18,5.46,684.39,0.54,0.1,5.49,3.29,normal,Good
2023-01-01 16:00:00,40.59127267288786,-73.797912723809,6.04,7.88,0.78,18.64,295.75,0.81,0.12,1.67,2.02,industrial_discharge,Good
2023-01-01 17:00:00,40.65742692948967,-73.72796201386454,6.08,7.05,0.27,18.91,487.19,1.37,0.42,0.06,12.53,normal,Good
